Category,Metric,Before,After,Change,Outcome
Performance,Accuracy,0.7733333333333333,0.7666666666666667,-0.006666666666666599,Worse
Performance,Balanced Accuracy,0.692063492063492,0.7126984126984126,0.02063492063492056,Improved
Performance,Precision,0.6666666666666666,0.6190476190476191,-0.04761904761904756,Worse
Performance,Recall,0.4888888888888889,0.5777777777777777,0.08888888888888885,Improved
Performance,F1,0.5641025641025641,0.5977011494252874,0.03359858532272331,Improved
Performance,ROC AUC,0.8055555555555555,0.8055555555555555,0.0,Unchanged
Performance,PR AUC,0.670599986330222,0.670599986330222,0.0,Unchanged
Performance,Log Loss,0.4825521749561462,0.4825521749561462,0.0,Unchanged
Performance,Brier Score,0.1580236871788242,0.1580236871788242,0.0,Unchanged
Performance,MCC,0.4249382471675705,0.434168816842521,0.009230569674950506,Improved
Performance,Cohen Kappa,0.4158075601374571,0.43365695792880254,0.017849397791345423,Improved
Performance,Gini,0.6111111111111109,0.6111111111111109,0.0,Unchanged
Performance,KS,0.47777777777777775,0.47777777777777775,0.0,Unchanged
Fairness,Demographic Parity Difference,0.0017660910518053352,0.01648351648351648,0.014717425431711145,Worse
Fairness,Demographic Parity Ratio,0.9920141969831411,0.9423076923076923,-0.04970650467544879,Worse
Fairness,Equal Opportunity Difference,0.01785714285714285,0.01680672268907568,-0.0010504201680671676,Improved
Fairness,Equalized Odds Difference,0.028571428571428567,0.05714285714285715,0.02857142857142858,Worse
