iter	Passed	Remaining
0	4	1885
1	9	1955
2	14	1981
3	19	1974
4	24	1967
5	29	1961
6	34	1962
7	39	1957
8	44	1951
9	49	1947
10	54	1949
11	59	1940
12	64	1938
13	70	1937
14	75	1932
15	80	1926
16	84	1917
17	89	1914
18	94	1903
19	99	1899
20	104	1896
21	109	1891
22	114	1887
23	119	1883
24	125	1880
25	130	1877
26	135	1873
27	140	1869
28	145	1864
29	150	1859
30	155	1852
31	160	1845
32	165	1842
33	170	1839
34	175	1835
35	180	1830
36	185	1826
37	190	1821
38	195	1813
39	200	1807
40	205	1800
41	209	1793
42	215	1790
43	220	1786
44	225	1782
45	230	1777
46	235	1771
47	240	1767
48	245	1762
49	250	1760
50	255	1755
51	260	1749
52	265	1745
53	270	1740
54	276	1737
55	281	1733
56	286	1729
57	292	1726
58	297	1722
59	305	1737
60	312	1742
61	317	1736
62	322	1731
63	327	1726
64	333	1722
65	338	1716
66	343	1711
67	348	1706
68	353	1702
69	359	1698
70	364	1693
71	369	1688
72	374	1683
73	379	1678
74	385	1674
75	390	1669
76	395	1665
77	401	1661
78	405	1654
79	411	1649
80	416	1644
81	421	1639
82	426	1634
83	431	1629
84	437	1624
85	442	1619
86	447	1614
87	452	1609
88	457	1604
89	462	1599
90	467	1594
91	473	1589
92	478	1583
93	483	1577
94	488	1572
95	493	1567
96	498	1561
97	503	1557
98	508	1552
99	514	1547
100	519	1542
101	524	1537
102	529	1532
103	534	1527
104	539	1522
105	545	1518
106	550	1512
107	555	1507
108	561	1502
109	566	1498
110	573	1497
111	578	1493
112	583	1487
113	588	1482
114	594	1477
115	599	1471
116	604	1466
117	609	1462
118	614	1457
119	620	1452
120	625	1446
121	630	1441
122	635	1436
123	640	1430
124	645	1425
125	650	1419
126	655	1414
127	660	1409
128	665	1403
129	670	1398
130	676	1394
131	681	1389
132	686	1384
133	692	1379
134	697	1373
135	702	1368
136	707	1363
137	712	1357
138	717	1353
139	723	1347
140	728	1343
141	733	1338
142	738	1333
143	744	1328
144	749	1322
145	754	1317
146	759	1312
147	764	1307
148	770	1302
149	775	1297
150	780	1292
